"IMAGE_NAME","DS10","DS20","DS30","DS40","DS50","DS60","DS70","DS80","DS90","cluster_label"
"DSC_7664.JPG",0.915609,1.49497,1.6808,1.68587,1.65474,1.57168,1.33797,0.975614,0.891607,4
"DSC_7730.JPG",1.21572,1.54602,1.73265,1.76406,1.75675,1.66296,1.44005,1.17969,1.22936,4
"DSC_7787.JPG",1.19403,1.49912,1.56235,1.64092,1.70735,1.63974,1.51276,1.52059,1.35183,4
"DSC_7827.JPG",0.856852,1.37372,1.48917,1.42866,1.58331,1.97075,2.14,1.87974,1.40085,0
"DSC_7859.JPG",1.52708,1.85429,1.83107,1.68237,1.44801,1.3913,1.51776,1.47429,0.844074,4
"DSC_7868.JPG",0.888718,1.32603,1.44789,1.33506,1.11419,1.05498,1.22832,1.2341,1.09988,4
"DSC_7913.JPG",0.854979,1.27728,1.36918,1.39515,1.47314,1.51394,1.48835,1.50867,1.22052,4
"DSC_7942.JPG",1.56781,1.59222,1.51077,1.42865,1.50953,1.42176,1.30335,1.2464,1.23338,4
"DSC_8004.JPG",1.5407,1.83559,1.88163,1.90381,2.02036,2.19193,2.09883,1.41833,0.676536,1
"DSC_8008.JPG",1.12038,1.47197,1.79567,2.06822,2.017,1.55868,1.05777,1.09326,1.02305,1
"DSC_7656.JPG",0.995786,1.33318,1.4612,1.57478,1.6555,1.67432,1.56948,1.41982,1.19983,4
"DSC_7710.JPG",1.09493,1.70584,1.97605,2.06471,2.05783,1.96196,1.79217,1.53741,1.24955,1
"DSC_7844.JPG",0.858161,1.32802,1.50575,1.51547,1.59534,1.81419,1.831,1.52085,1.07923,0
"DSC_7845.JPG",0.863443,1.7367,1.96317,2.07079,2.1877,2.15617,1.87272,1.36352,1.19381,1
"DSC_7864.JPG",1.45538,2.04829,2.30467,2.38646,2.02769,1.61835,1.70737,1.9515,1.15155,1
"DSC_7871.JPG",1.28746,1.64539,1.46978,0.870043,1.03702,1.15368,1.16649,1.13167,1.06215,4
"DSC_7874.JPG",1.21992,1.55361,1.43967,1.53517,1.61446,1.42658,1.33492,1.22778,1.22349,4
"DSC_7894.JPG",0.789945,1.62956,1.97107,2.30104,2.52244,2.54694,2.28146,1.47584,0.640449,1
"DSC_7895.JPG",0.8761,2.11886,2.74724,2.92011,2.83406,2.49787,2.03879,1.80959,1.4254,2
"DSC_7902.JPG",0.962177,1.36421,1.58517,1.3358,1.22922,1.81327,2.0581,2.01457,1.68826,0
"DSC_7976.JPG",0.808203,1.11429,1.29517,1.41272,1.49318,1.51234,1.51731,1.51312,1.31484,4
"DSC_8000.JPG",1.09411,1.62387,2.00654,2.31463,2.31683,1.89992,1.46064,1.28428,0.819867,1
"DSC_8034.JPG",0.646958,1.12747,1.65314,1.80921,1.60684,1.11071,0.994394,0.989158,0.93015,4
"DSC_8040.JPG",1.35012,1.34735,1.63971,2.02855,2.06776,1.98542,1.94852,1.72817,1.08001,1
"DSC_7731.JPG",0.939344,1.32704,2.23375,2.56728,2.57453,2.40703,2.22161,1.83307,1.10502,3
"DSC_7732.JPG",1.22105,2.18695,2.57834,2.31745,1.26657,1.22888,1.42019,1.08336,1.07612,1
"DSC_7736.JPG",1.55856,2.0632,2.13967,2.1028,2.02267,1.98531,1.97876,1.86253,1.32918,1
"DSC_7760.JPG",0.680593,1.07431,1.44854,1.6231,1.75746,1.9042,1.97526,1.87782,1.64518,0
"DSC_7761.JPG",0.720027,1.26563,1.61192,1.68143,1.78366,1.95642,1.95014,1.69192,1.30533,0
"DSC_7766.JPG",0.512816,1.37186,1.75075,1.89091,2.02631,2.1712,2.18629,1.89098,1.20339,0
"DSC_7773.JPG",1.7011,2.40131,2.65239,2.48947,2.22023,1.99046,1.86902,1.75059,1.29225,2
"DSC_7778.JPG",0.950973,1.91698,2.34519,2.57167,2.70376,2.84015,2.9613,2.94946,2.37883,3
"DSC_7779.JPG",1.74722,2.15417,1.92437,1.57261,1.37028,1.45575,1.57451,1.58623,0.947039,4
"DSC_7782.JPG",0.752747,1.23274,1.51155,1.6747,1.80722,1.81058,1.71522,1.57985,1.32565,0
"DSC_7795.JPG",0.452371,1.19756,1.47518,1.67759,1.69678,1.62632,1.62095,1.55548,1.44424,0
"DSC_7798.JPG",0.803732,1.47752,2.10732,2.35786,2.43661,2.26043,1.95787,1.69152,1.35604,3
"DSC_7801.JPG",1.08875,1.51367,1.71034,1.80224,1.82548,1.76938,1.62385,1.42605,1.16263,1
"DSC_7824.JPG",0.872946,1.37161,1.45867,1.56901,1.82091,2.03343,2.16336,2.07225,1.71804,0
"DSC_7834.JPG",0.857593,1.94748,2.30051,2.4748,2.3831,2.35225,2.33999,2.32327,1.88936,3
"DSC_7034.JPG",1.51846,1.95972,2.0843,1.92425,1.58241,1.13275,1.48648,1.65425,1.45742,1
"DSC_7046.JPG",1.10708,1.70332,2.3209,2.53611,2.25935,1.72961,1.62006,1.34635,1.07271,1
"DSC_7052.JPG",0.920763,1.43161,1.79277,2.00151,2.13091,2.25675,2.20271,1.98648,1.36307,3
"DSC_7054.JPG",0.894315,0.848548,1.25364,1.37384,1.30496,1.22345,1.32736,1.33679,1.2977,4
"DSC_7063.JPG",1.19571,1.57515,1.58601,1.68372,1.64433,1.76773,1.96833,1.97728,1.45084,0
"DSC_7093.JPG",0.763567,1.41138,1.78893,1.75263,1.52087,1.4472,1.35588,1.22546,0.883783,4
"DSC_7108.JPG",0.812683,1.35578,2.2392,2.28776,1.81981,1.62002,1.60066,1.09433,0.886555,1
"DSC_7109.JPG",1.03206,1.46216,1.61382,1.66707,1.70031,1.73807,1.76794,1.75379,1.50254,0
"DSC_7114.JPG",1.15527,1.65077,1.95245,2.18346,2.25138,2.17397,1.83425,1.10518,0.725979,1
"DSC_7150.JPG",0.768992,1.93345,2.1849,1.92797,1.68439,1.72175,1.83112,1.60324,0.571719,1
"DSC_7530.JPG",0.691011,1.5708,2.15192,2.39333,2.40347,2.32235,2.33573,2.29127,1.80343,3
"DSC_7029.JPG",1.35053,1.86335,1.90862,1.93135,2.02118,1.96257,1.732,1.49381,1.23864,1
"DSC_7040.JPG",0.74416,1.43966,1.81052,1.98327,1.90231,1.74651,1.5828,1.44994,0.97064,1
"DSC_7055.JPG",1.41593,1.69946,1.71161,1.67503,1.46304,0.929218,1.03521,1.29969,1.1125,4
"DSC_7065.JPG",0.678645,1.47085,1.85437,2.11299,2.37201,2.43474,2.0822,1.0826,1.09008,1
"DSC_7066.JPG",0.92249,1.5586,1.99802,2.2799,2.48747,2.61211,2.69748,2.56447,2.03069,3
"DSC_7117.JPG",0.797381,1.08957,1.68493,2.23066,2.50936,2.50994,2.32248,1.93168,1.46789,3
"DSC_7130.JPG",1.1725,2.16358,2.56333,2.63589,2.4898,2.2615,2.20926,2.39607,2.14364,3
